A  	,Element	,Z,N  	,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),M Gamma   	,B_exp (W.u.),B_exp Unc (W.u.),
18 	,F      	,9  	,9  	,5297.6    	,15      	,4+                	,21 FS 3                  	,1940      	,	,M1+E2     	,0.00037   	,31              	,
18 	,F      	,9  	,9  	,5297.6    	,15      	,4+                	,21 FS 3                  	,646       	,	,M1        	,0.019     	,9               	,
18 	,F      	,9  	,9  	,5603.38   	,27      	,1+                	,43.3 EV 16               	,4561      	,	,M1        	,0.0090    	,30              	,
18 	,F      	,9  	,9  	,5603.38   	,27      	,1+                	,43.3 EV 16               	,2541      	,	,M1        	,1.1       	,2               	,
18 	,F      	,9  	,9  	,6163.2    	,9       	,3+                	,14.0 KEV 5               	,3640      	,	,M1        	,0.052     	,17              	,
18 	,F      	,9  	,9  	,6163.2    	,9       	,3+                	,14.0 KEV 5               	,3101      	,	,M1        	,0.019     	,10              	,
18 	,F      	,9  	,9  	,6163.2    	,9       	,3+                	,14.0 KEV 5               	,2324      	,	,M1        	,0.91      	,23              	,
18 	,F      	,9  	,9  	,6163.2    	,9       	,3+                	,14.0 KEV 5               	,2047      	,	,M1        	,0.078     	,33              	,
18 	,F      	,9  	,9  	,6283.2    	,9       	,2+                	,10.0 KEV 5               	,2925      	,	,M1        	,0.078     	,27              	,
18 	,F      	,9  	,9  	,6283.2    	,9       	,2+                	,10.0 KEV 5               	,2559      	,	,M1        	,0.071     	,34              	,
18 	,F      	,9  	,9  	,6283.2    	,9       	,2+                	,10.0 KEV 5               	,2444      	,	,M1        	,0.91      	,29              	,
18 	,F      	,9  	,9  	,6283.2    	,9       	,2+                	,10.0 KEV 5               	,4582      	,	,M1        	,0.050     	,15              	,
18 	,F      	,9  	,9  	,6283.2    	,9       	,2+                	,10.0 KEV 5               	,2167      	,	,M1        	,0.33      	,11              	,
18 	,F      	,9  	,9  	,6283.2    	,9       	,2+                	,10.0 KEV 5               	,3760      	,	,M1        	,0.0048    	,34              	,
18 	,F      	,9  	,9  	,6283.2    	,9       	,2+                	,10.0 KEV 5               	,1923      	,	,M1        	,0.06      	,5               	,
18 	,F      	,9  	,9  	,6310.5    	,8       	,3+                	,0.95 KEV 14              	,2195      	,	,M1        	,0.018     	,14              	,
18 	,F      	,9  	,9  	,6310.5    	,8       	,3+                	,0.95 KEV 14              	,1347      	,	,M1        	,0.62      	,20              	,
18 	,F      	,9  	,9  	,6310.5    	,8       	,3+                	,0.95 KEV 14              	,3788      	,	,M1        	,0.0060    	,18              	,
18 	,F      	,9  	,9  	,6310.5    	,8       	,3+                	,0.95 KEV 14              	,3249      	,	,M1        	,0.14      	,3               	,
18 	,F      	,9  	,9  	,6310.5    	,8       	,3+                	,0.95 KEV 14              	,2472      	,	,M1        	,0.025     	,9               	,
18 	,F      	,9  	,9  	,6385.5    	,17      	,2+                	,0.49 KEV 9               	,2547      	,	,M1        	,0.18      	,9               	,
18 	,F      	,9  	,9  	,6385.5    	,17      	,2+                	,0.49 KEV 9               	,2270      	,	,M1        	,0.041     	,20              	,
18 	,F      	,9  	,9  	,6385.5    	,17      	,2+                	,0.49 KEV 9               	,4685      	,	,M1        	,0.014     	,7               	,
18 	,F      	,9  	,9  	,6484.9    	,15      	,3+                	,0.40 KEV 10              	,3423      	,	,M1        	,0.019     	,7               	,
18 	,F      	,9  	,9  	,6484.9    	,15      	,3+                	,0.40 KEV 10              	,2646      	,	,M1        	,0.017     	,6               	,
18 	,F      	,9  	,9  	,6484.9    	,15      	,3+                	,0.40 KEV 10              	,1521      	,	,M1        	,0.02      	,2               	,
18 	,F      	,9  	,9  	,6484.9    	,15      	,3+                	,0.40 KEV 10              	,3962      	,	,M1        	,0.0023    	,15              	,
18 	,F      	,9  	,9  	,6567.0    	,15      	,5+                	,0.56 KEV 13              	,1269      	,	,M1        	,0.014     	,5               	,
19 	,F      	,9  	,10 	,1554.038  	,9       	,3/2+              	,3.5 FS 21                	,1554.0    	,	,M1        	,0.043     	,25              	,
19 	,F      	,9  	,10 	,1554.038  	,9       	,3/2+              	,3.5 FS 21                	,1356.9    	,	,M1        	,2.3       	,14              	,
19 	,F      	,9  	,10 	,3908.17   	,20      	,3/2+              	,6 FS 3                   	,2354.1    	,	,M1        	,0.056     	,33              	,
19 	,F      	,9  	,10 	,3908.17   	,20      	,3/2+              	,6 FS 3                   	,3908.2    	,	,M1        	,0.12      	,7               	,
19 	,F      	,9  	,10 	,3908.17   	,20      	,3/2+              	,6 FS 3                   	,3711.0    	,	,M1        	,0.0096    	,53              	,
19 	,F      	,9  	,10 	,5500.7    	,17      	,3/2+              	,4 KEV 1                  	,3946.7    	,	,M1        	,0.18      	,	,
19 	,F      	,9  	,10 	,6070      	,1       	,7/2+              	,1.2 KEV                  	,3290      	,	,M1        	,0.19      	,7               	,
19 	,F      	,9  	,10 	,6070      	,1       	,7/2+              	,1.2 KEV                  	,1692      	,	,M1        	,0.25      	,10              	,
19 	,F      	,9  	,10 	,6282      	,2       	,5/2+              	,2.4 KEV                  	,4728      	,	,M1        	,0.022     	,5               	,
19 	,F      	,9  	,10 	,6330      	,2       	,7/2+              	,2.4 KEV                  	,1952      	,	,M1        	,0.22      	,6               	,
19 	,F      	,9  	,10 	,6500.0    	,9       	,11/2+             	,2.4 EV GT                	,3720.2    	,	,M1        	,0.19      	,	,
19 	,F      	,9  	,10 	,6500.0    	,9       	,11/2+             	,2.4 EV GT                	,1852      	,	,M1        	,1.3       	,	,
19 	,F      	,9  	,10 	,6592      	,2       	,9/2+              	,7.6 EV 18                	,3812      	,	,M1        	,0.35      	,7               	,
19 	,F      	,9  	,10 	,6592      	,2       	,9/2+              	,7.6 EV 18                	,2214      	,	,M1        	,0.35      	,7               	,
19 	,F      	,9  	,10 	,7539.6    	,9       	,5/2+              	,0.16 KEV 5               	,3161.9    	,	,M1        	,2.3       	,5               	,
19 	,F      	,9  	,10 	,7660.6    	,9       	,3/2+              	,2.2 EV 7                 	,3110.7    	,	,M1        	,0.15      	,5               	,
19 	,F      	,9  	,10 	,8137.7    	,12      	,1/2+              	,0.3 KEV LE               	,1883      	,	,M1        	,0.28      	,	,
19 	,F      	,9  	,10 	,8137.7    	,12      	,1/2+              	,0.3 KEV LE               	,4229.5    	,	,M1        	,0.44      	,	,
19 	,F      	,9  	,10 	,8137.7    	,12      	,1/2+              	,0.3 KEV LE               	,2200      	,	,M1        	,0.58      	,	,
