A  ,Element,Z  ,N  ,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),M Gamma   ,B_exp (W.u.),B_exp Unc (W.u.),,
23,NA     ,11,12,2703.8,0.5,9/2+              ,88 FS 7                  ,2263.3,0.8,E2        ,17.4,1.4,          ,                
23,NA     ,11,12,3914.6,0.4,5/2+              ,6.9 FS 1.4               ,1523,1,[E2]      ,28,7,          ,                
23,NA     ,11,12,440.2,0.4,5/2+              ,1.14 PS 0.07             ,440.5,0.6,M1+E2     ,32,6,,
23,NA     ,11,12,6735.5,0.2,3/2+              ,415 AS 50                ,4658.8,        ,[E2]      ,43,11,          ,                
23,NA     ,11,12,2703.8,0.5,9/2+              ,88 FS 7                  ,627.4,0.6,M1+E2     ,60,30,,
24,NA     ,11,13,1885.493,0.005,3+                ,26 FS 5                  ,1885.413,0.005,M1+E2     ,0.41,0.25,,
24,NA     ,11,13,1846.012,0.005,2+                ,180 FS 35                ,1373.763,0.005,M1+E2     ,1.2,1,,
25,NA     ,11,14,2202,1,3/2+              ,25 FS 4                  ,1132.8,1,M1+E2     ,1.8,+6.7-1.8        ,,
25,NA     ,11,14,1069.32,0.19,1/2+              ,1.32 PS 0.14             ,1069.3,        ,[E2]      ,7.1,1.1,          ,                
25,NA     ,11,14,2202,1,3/2+              ,25 FS 4                  ,2112.5,1,M1+E2     ,24,5,,
26,NA     ,11,15,406.7,0.5,2+                ,0.18 NS +0.17-0.13       ,323,        ,M1+E2     ,0.5,+0.7-0.4        ,,
26,NA     ,11,15,406.7,0.5,2+                ,0.18 NS +0.17-0.13       ,404,3,M1+E2     ,3,+4-2            ,,
26,NA     ,11,15,82.2,0.6,1+                ,9 US 2                   ,84,3,E2        ,3.6,0.9,          ,                
26,NA     ,11,15,232.7,0.6,2+                ,0.9 NS +0.6-0.5          ,232,2,M1+E2     ,11,10,,
26,NA     ,11,15,232.7,0.6,2+                ,0.9 NS +0.6-0.5          ,153,3,M1+E2     ,19,+20-18          ,,
22,MG     ,12,10,5711.4,0.7,2+                ,28 FS 10                 ,4463.5,1,M1+E2     ,0.08,0.05,,
22,MG     ,12,10,4402,0.3,2+                ,21 FS LT                 ,4400,50,[E2]      ,0.33,                ,          ,                
22,MG     ,12,10,3308.22,0.06,4+                ,200 FS 45                ,2061.09,0.05,E2        ,21,5,          ,                
22,MG     ,12,10,1247.02,0.03,2+                ,2.0 PS 0.8               ,1246.98,0.03,E2        ,26,11,          ,                
23,MG     ,12,11,2051.6,0.4,7/2+              ,65 FS 12                 ,1601.4,1.3,M1+E2     ,6.5,+2.1-1.6        ,,
23,MG     ,12,11,2357,0.7,1/2+              ,575 FS 118               ,1906,1,[E2]      ,6.9,+1.8-1.2        ,          ,                
23,MG     ,12,11,6194.7,0.7,(13/2+)           ,11.9 FS 2.1              ,3480,1,E2        ,21.4,+4.6-3.3        ,          ,                
23,MG     ,12,11,450.7,0.15,5/2+              ,1.15 PS 0.08             ,450.7,0.15,M1+E2     ,24,+20-13          ,,
23,MG     ,12,11,2714.5,0.5,9/2+              ,65 FS 8                  ,2263,1,[E2]      ,26.5,+3.7-3          ,          ,                
24,MG     ,12,12,4238.24,0.03,2+                ,41 FS 4                  ,4237.96,0.06,E2        ,1.94,0.19,          ,                
24,MG     ,12,12,5235.12,0.04,3+                ,61 FS 7                  ,3866.19,0.08,M1+E2     ,2.5,0.3,,
24,MG     ,12,12,4238.24,0.03,2+                ,41 FS 4                  ,2869.5,0.06,M1+E2     ,3.6,0.4,,
24,MG     ,12,12,6432.3,0.11,0+                ,53 FS 8                  ,2193.4,0.6,E2        ,8.9,1.4,          ,                
24,MG     ,12,12,1368.672,0.005,2+                ,1.33 PS 0.06             ,1368.626,0.005,E2        ,21.5,1,          ,                
24,MG     ,12,12,4122.889,0.012,4+                ,22 FS 2                  ,2754.007,0.011,E2        ,39,4,          ,                
24,MG     ,12,12,5235.12,0.04,3+                ,61 FS 7                  ,996.83,0.1,M1+E2     ,58,8,,
25,MG     ,12,13,2737.8,0.3,7/2+              ,290 FS 30                ,2738,0.6,M1+E2     ,0.1,0.05,,
25,MG     ,12,13,8011,2,"(9/2,13/2+)       ",37 FS 4                  ,2761,3,M1+E2     ,0.23,0.06,,
25,MG     ,12,13,1964.624,0.023,5/2+              ,0.70 PS 0.06             ,1964.501,0.045,M1+E2     ,0.45,0.12,,
25,MG     ,12,13,585.045,0.021,1/2+              ,3.38 NS 0.06             ,585.028,0.03,E2        ,0.563,0.01,          ,                
25,MG     ,12,13,974.756,0.022,3/2+              ,10.1 PS 1                ,974.742,0.035,M1+E2     ,0.91,0.13,,
25,MG     ,12,13,2801.46,0.03,3/2+              ,26 FS 3                  ,2216.267,0.05,M1+E2     ,1.5,1.3,,
25,MG     ,12,13,4059.6,0.3,9/2+              ,47 FS 5                  ,4058.9,0.5,E2        ,1.51,0.17,          ,                
