Nucleus,Elevel(keV),Jpi,T1/2
33S,6967 4,(1/2:7/2)+,
33S,6967 4,(1/2:7/2)+,
33S,6967 4,(1/2:7/2)+,
33S,7164 6,(1/2:7/2)(+),
33S,7164 6,(1/2:7/2)(+),
33S,7164 6,(1/2:7/2)(+),
33S,7164 6,(1/2:7/2)(+),
33S,7338 5,5/2+,
33S,7615.75 3,"1/2,3/2,5/2+",
33S,7905 6,"(1/2+,3/2+)",
33S,7905 6,"(1/2+,3/2+)",
33S,8234 24,5/2+,
33S,8641.646 14,1/2+,
33S,8644 10,"3/2+,5/2+",
33S,8644 10,"3/2+,5/2+",
33S,8686.997 15,"3/2+,5/2+",
33S,8686.997 15,"3/2+,5/2+",
33S,8741.21 2,1/2+,15.0 keV 1
33S,8746.3 5,1/2+,20 keV 3
33S,8796.94 2,5/2+,4.3 eV 2
33S,8894.93 4,5/2+,4.6 eV 4
33S,8941.56 5,5/2+,8.7 eV 7
33S,8984.39 6,5/2+,8.7 eV 3
33S,9007.10 6,1/2+,7.971 keV 14
33S,9030.75 7,"3/2+,5/2+",
33S,9030.75 7,"3/2+,5/2+",
33S,9087.5900 8,3/2+,55.2 eV 13
33S,9090.59 8,5/2+,84 eV 1
33S,9139.66 9,"3/2+,5/2+",
33S,9139.66 9,"3/2+,5/2+",
33S,9211.3 10,5/2+,1.286 keV 6
33S,9271.53 13,5/2+,504 eV 4
33S,9287.77 13,3/2+,32.0 eV 16
33S,9296.89 14,3/2+,416 eV 8
33S,9316.43 14,1/2+,11.28 keV 9
33S,9402.03 17,3/2+,149 eV 12
33S,9409.37 17,3/2+,24 eV 2
33S,9435.93 18,5/2+,588 eV 5
33S,9534.02 21,5/2+,715 eV 25
33S,9560.53 22,5/2+,1.091 keV 12
33S,9605 5,1/2+,10 keV 4
33S,9657.10 25,1/2+,1.56 keV 8
33S,9665.54 26,5/2+,1.558 keV 10
33S,9674.94 26,1/2+,279 eV 21
33S,9757.34 29,"3/2+,5/2+",
33S,9757.34 29,"3/2+,5/2+",
33S,9767.52 29,1/2+,1.23 keV 11
33S,9771.78 29,3/2+,0.43 keV 4
33S,9823.36 31,3/2+,1.278 keV 25
33S,9892.19 34,1/2+,11.0 keV 7
33S,9909.05 35,3/2+,197 eV 25
33S,9925.82 35,5/2+,0.37 keV 3
33S,9940.85 36,5/2+,1.59 keV 3
33S,9977.98 37,5/2+,0.11 keV 4
33S,9999.89 38,5/2+,372 eV 17
33S,10017.63 39,1/2+,0.87 keV 13
33S,10052.4 5,1/2+,
33S,10120.87 43,3/2+,4.07 keV 9
33S,10164.69 45,(5/2+),
33S,10198.13 47,1/2+,0.60 keV 25
33S,10217.13 47,5/2+,7.4 keV 3
33S,10250.29 49,1/2+,2.8 keV 3
33S,10309 11,7/2+,
33S,10355 30,5/2+,
33S,10441.8 5,3/2(+),
33S,10518 10,"(1/2,5/2)+",
33S,10518 10,"(1/2,5/2)+",
33S,10579,"(1/2-,5/2+)",
33S,10689 10,"(1/2+,5/2-)",
33S,10706.2 4,"(1/2-,5/2+)",
33S,10779.3 5,3/2(+),
33S,10842 10,"(1/2-,5/2+)",
33S,10913 10,"(1/2-,5/2+)",21.1 keV 12
33S,11014 10,"(1/2-,5/2+)",
33S,11064 10,"(5/2+,9/2+)",
33S,11064 10,"(5/2+,9/2+)",
33S,11084 10,"(3/2+,9/2+)",
33S,11084 10,"(3/2+,9/2+)",
33S,11115 10,"(1/2+,3/2-)",
33S,11150 10,"(7/2-,9/2+)",
33S,11159 10,"(1/2-,9/2+)",
33S,11224 10,"(1/2-,3/2+)",
33S,11282 10,"(1/2+,7/2-)",
33S,11308 10,"(5/2+,9/2+)",
33S,11308 10,"(5/2+,9/2+)",
33S,11369 10,"(3/2-,5/2+)",
33S,11378 10,"(1/2+,7/2-)",
33S,11400 10,"(1/2-,5/2+)",
33S,11479 10,"(3/2-,5/2+)",
33S,11593 10,"(1/2-,7/2+)",
33S,11619 10,"(1/2+,5/2+)",
33S,11619 10,"(1/2+,5/2+)",
33S,11663 10,"(5/2+,7/2-)",
33S,11712 10,5/2+,
33S,11756 10,"(1/2-,3/2+)",9.9 keV 7
33S,11799 10,"(3/2-,5/2+)",
33S,11826 10,"(3/2+,5/2+)",
33S,11826 10,"(3/2+,5/2+)",
33S,11865 10,"(1/2+,9/2+)",
33S,11865 10,"(1/2+,9/2+)",
33S,11940 10,"(1/2-,5/2+)",
34S,0,0+,STABLE
34S,2127.564 13,2+,318 fs 8
34S,3304.212 13,2+,136 fs 7
34S,3916.408 21,0+,1.12 ps 9
34S,4074.667 14,1+,< 17 fs
34S,4114.813 23,2+,73 fs 6
34S,4688.98 5,4+,88 fs 4
34S,4876.839 24,3+,40 fs 15
34S,4882 14,4+,
34S,4889.756 22,2+,29 fs 10
34S,5228.175 23,0+,
34S,5380.99 4,1+,< 49 fs
34S,5847.53 3,0+,
34S,5998.10 8,2+,
34S,6121.49 12,2+,
34S,6251.22 19,4+,0.42 ps +49-21
34S,6428.12 8,(2+),
34S,6731,"2(+),4(+)",
34S,6731,"2(+),4(+)",
34S,6828.85 19,2+,
34S,6847.90 7,"(1,2+)",
34S,6890 1,"(3,4)+",< 14 fs
34S,6890 1,"(3,4)+",< 14 fs
34S,7112,2+,
34S,7164.47 18,(0:3)+,
34S,7164.47 18,(0:3)+,
34S,7164.47 18,(0:3)+,
34S,7164.47 18,(0:3)+,
34S,7219.28 7,(2+),
34S,7248.05 11,"(2+,3-)",
34S,7367.42 10,"(1+,2+)",
34S,7367.42 10,"(1+,2+)",
34S,7467.72 10,"(0+,1,2)",
34S,7750 8,2+,
34S,7805 5,2+,
34S,7974.72 16,"(1,2+)",
34S,8025 16,0+,
34S,8036.30 14,"(1-,2+)",
34S,8175.1 5,"(1,2+)",
34S,8185.46 13,(1)+,
34S,8205.40 8,(1-:4+),
34S,8255 16,2+,
34S,8294.39 9,(0+:3-),
34S,8423 5,4+,
34S,8503.8 7,6+,28 fs 7
34S,8615.74 4,"(2-,3+)",
34S,8656 4,(1)+,
34S,8727.63 8,"(1-,2+)",
34S,8805.66 25,"(1,2+)",
34S,8874.02 8,"(1-,2,3+)",
34S,9026.31 6,"(1,2+)",
34S,9158.71 3,"(1,2+)",
34S,9208.04 6,"(1,2+)",
34S,9479 3,(1)+,
34S,9546.09 7,"(1,2+)",
34S,9640 4,"(1,2+)",
34S,9706 4,"(1,2+)",
34S,9801.89 10,"(1,2+)",
34S,9868 4,(1)+,
34S,9912.8 7,7(+),184 fs 38
34S,10000 10,1+,
34S,10170 5,(1)+,
34S,10180 10,1+,
34S,10311.53 3,2+,
34S,10407 4,2+,
34S,10430 10,1+,
34S,10651.6 8,8+,35 fs 17
34S,10660 10,"1+,(2-)",
34S,10700,(6+),
34S,10767 4,2+,
34S,10800 10,1+,
34S,10803 6,"(1,2+)",
34S,10994 4,2+,
34S,11014 4,2+,
34S,11020 10,1+,
34S,11087 4,2+,
34S,11220 4,(2+),
34S,11272 4,2+,
34S,11314 4,2+,
34S,11350 10,1+,
34S,11374.2 8,8(+),
34S,11380 4,2+,
34S,11411.31,2+,
34S,11417.223 16,"1+,2+",
34S,11417.223 16,"1+,2+",
34S,11430.17,2+,0.116 keV 20
34S,11467.68,2+,0.368 keV 8
34S,11496.06,2+,0.71 keV 3
34S,11500 10,1+,
34S,11631.75,2+,0.75 keV 7
34S,11633.67,0+,5.3 keV 10
34S,11670.29,1+,0.55 keV 11
34S,11807.4 8,8(+),
34S,12120 10,1+,
34S,12141.3 7,9(+),173 fs 35
34S,12460 10,"1+,(2-)",
34S,12660 10,1+,
34S,12930 10,"2-,(1+)",
34S,12985.5 8,(9+),
34S,13341.6 8,10(+),180 fs 28
34S,13960.5 11,(10+),
34S,13990 10,1+,
34S,14200 10,"1+,(2-)",
34S,14320 10,"2-,(1+)",
34S,14430 10,"1+,(2-)",
34S,14576.4 12,(10+),
34S,15244.4 10,"(10,11,12+)",
34S,16649.1 14,"(10,11,12+)",
35S,0,3/2+,87.37 d 4
35S,1572.378 19,1/2+,2.3 ps 4
35S,2717.00 3,5/2+,69 fs 24
35S,2938.64 5,3/2+,
35S,3421.1 3,5/2+,< 70 fs
35S,3558.09 3,"(3/2-,5/2+)",
35S,3594.8 4,(1/2:7/2)+,
35S,3594.8 4,(1/2:7/2)+,
35S,3594.8 4,(1/2:7/2)+,
35S,3594.8 4,(1/2:7/2)+,
35S,4025.9 4,(1/2:5/2)+,
35S,4025.9 4,(1/2:5/2)+,
35S,4025.9 4,(1/2:5/2)+,
35S,4106.4 4,"(1/2,3/2,5/2)+",< 55 fs
35S,4106.4 4,"(1/2,3/2,5/2)+",< 55 fs
35S,4106.4 4,"(1/2,3/2,5/2)+",< 55 fs
35S,4180 3,"(1/2,3/2,5/2+)",
35S,4477.64 7,"(1/2,3/2,5/2)+",< 62 fs
35S,4477.64 7,"(1/2,3/2,5/2)+",< 62 fs
35S,4477.64 7,"(1/2,3/2,5/2)+",< 62 fs
35S,4576 8,(1/2:5/2)+,
35S,4576 8,(1/2:5/2)+,
35S,4576 8,(1/2:5/2)+,
35S,4839 8,(1/2:9/2)+,
35S,4839 8,(1/2:9/2)+,
35S,4839 8,(1/2:9/2)+,
35S,4839 8,(1/2:9/2)+,
35S,4839 8,(1/2:9/2)+,
35S,4990 10,(1/2:5/2)+,
35S,4990 10,(1/2:5/2)+,
35S,4990 10,(1/2:5/2)+,
35S,5127 10,(1/2:9/2)+,
35S,5127 10,(1/2:9/2)+,
35S,5127 10,(1/2:9/2)+,
35S,5127 10,(1/2:9/2)+,
35S,5127 10,(1/2:9/2)+,
35S,5771 10,(1/2:9/2)+,
35S,5771 10,(1/2:9/2)+,
35S,5771 10,(1/2:9/2)+,
35S,5771 10,(1/2:9/2)+,
35S,5771 10,(1/2:9/2)+,
35S,6129 10,"(1/2,3/2,5/2)+",
35S,6129 10,"(1/2,3/2,5/2)+",
35S,6129 10,"(1/2,3/2,5/2)+",
35S,6684 9,(1/2:9/2)+,
35S,6684 9,(1/2:9/2)+,
35S,6684 9,(1/2:9/2)+,
35S,6684 9,(1/2:9/2)+,
35S,6684 9,(1/2:9/2)+,
35S,6986.10 3,1/2+,
35S,7275.99 5,1/2+,
35S,7331.06 5,1/2+,
35S,7442.21 5,1/2+,
35S,7712 10,(3/2:13/2)+,
35S,7712 10,(3/2:13/2)+,
35S,7712 10,(3/2:13/2)+,
35S,7712 10,(3/2:13/2)+,
35S,7712 10,(3/2:13/2)+,
35S,7712 10,(3/2:13/2)+,
35S,7798.07 9,1/2+,
35S,7812.32 7,3/2+,
35S,8262.5 4,5/2+,
35S,8418.9 5,(1/2:9/2)+,
35S,8418.9 5,(1/2:9/2)+,
35S,8418.9 5,(1/2:9/2)+,
35S,8418.9 5,(1/2:9/2)+,
35S,8418.9 5,(1/2:9/2)+,
35S,9155 10,(1/2:9/2)+,
35S,9155 10,(1/2:9/2)+,
35S,9155 10,(1/2:9/2)+,
35S,9155 10,(1/2:9/2)+,
35S,9155 10,(1/2:9/2)+,
36S,0,0+,STABLE
36S,3290.9 3,2+,83 fs 7
36S,3346 4,0+,8.8 ns 2
36S,4523.0 6,1+,0.017 ps 8
36S,4575.2 7,2+,55 fs 10
36S,5391.4 9,2+,> 0.2 ps
36S,5462 3,3+,
36S,6225.2 10,2+,< 20 fs
36S,6514.4 4,4+,< 0.2 ps
36S,6690,(6+),
36S,7120 14,"(1,2)+",< 0.2 ps
36S,7120 14,"(1,2)+",< 0.2 ps
37S,1397.51 18,(3/2)+,
37S,3120 2,(9/2)+,
37S,3355.4 4,(3/2)+,
37S,3605 2,"(1/2-,3/2+)",
37S,3666 2,(3/2+),
37S,4303.61 4,1/2+,
37S,4411 2,"(5/2-,9/2+)",
37S,4675 2,"(7/2-,9/2+)",
37S,4754 2,"(7/2-,9/2+)",
37S,5054 2,(9/2)+,
37S,5090 2,(9/2)+,
37S,5122 2,(9/2)+,
38S,0,0+,170.3 m 7
38S,1292.02 20,2+,3.3 ps +5-4
38S,2805.1 20,(2+),0.08 ps +9-5
38S,2825.3 11,4+,> 0.14 ps
38S,3375 17,(2+),
38S,3516.3 7,"(1,2+)",
38S,3658 6,(6+),
38S,4336 20,(4+),
38S,4461 22,"(3-,4+)",
38S,4990.2 11,(2+),
38S,5278 28,(2+),
39S,864.07 24,(3/2+),
40S,0,0+,8.8 s 22
40S,903.69 7,2+,14.1 ps +17-14
40S,1916.84 21,(4+),
40S,2254.79 12,(4+),
40S,3828,(6+),
42S,0,0+,1.016 s 15
42S,903 5,2+,11.9 ps 20
42S,2725 10,(4+),
42S,2779 11,(2+),
44S,0,0+,100 ms 1
44S,1329.0 5,2+,2.4 ps 7
44S,1365.0 8,0+,2.619 �s 26
44S,2150 11,(2+),
44S,2278 5,(2+),
44S,2457 6,(4+),
44S,2632 11,(2+),
44S,3257 6,(2+),
46S,0,0+,50 ms 8
46S,952 8,(2+),
29CL,0,(1/2+),< 20 ns
29CL,500,(3/2+),
30CL,0,(3+),< 30 ns
31CL,0,3/2+,190 ms 1
31CL,?750,(1/2+),
31CL,1746 5,"(3/2,5/2,7/2)+",
31CL,1746 5,"(3/2,5/2,7/2)+",
31CL,1746 5,"(3/2,5/2,7/2)+",
31CL,2436 5,"(3/2,5/2,7/2)+",
31CL,2436 5,"(3/2,5/2,7/2)+",
31CL,2436 5,"(3/2,5/2,7/2)+",
31CL,2687 6,"(3/2,5/2,7/2)+",
31CL,2687 6,"(3/2,5/2,7/2)+",
31CL,2687 6,"(3/2,5/2,7/2)+",
31CL,4044 5,"(3/2,5/2,7/2)+",
31CL,4044 5,"(3/2,5/2,7/2)+",
31CL,4044 5,"(3/2,5/2,7/2)+",
31CL,5382 5,"(3/2,5/2,7/2)+",
31CL,5382 5,"(3/2,5/2,7/2)+",
31CL,5382 5,"(3/2,5/2,7/2)+",
31CL,5617 5,"(3/2,5/2,7/2)+",
31CL,5617 5,"(3/2,5/2,7/2)+",
31CL,5617 5,"(3/2,5/2,7/2)+",
31CL,5756 5,"(3/2,5/2,7/2)+",
31CL,5756 5,"(3/2,5/2,7/2)+",
31CL,5756 5,"(3/2,5/2,7/2)+",
31CL,6526 5,"(3/2,5/2,7/2)+",
31CL,6526 5,"(3/2,5/2,7/2)+",
31CL,6526 5,"(3/2,5/2,7/2)+",
31CL,6660 5,"(3/2,5/2,7/2)+",
31CL,6660 5,"(3/2,5/2,7/2)+",
31CL,6660 5,"(3/2,5/2,7/2)+",
31CL,7378 6,"(3/2,5/2,7/2)+",
31CL,7378 6,"(3/2,5/2,7/2)+",
31CL,7378 6,"(3/2,5/2,7/2)+",
31CL,7488 6,"(3/2,5/2,7/2)+",
31CL,7488 6,"(3/2,5/2,7/2)+",
31CL,7488 6,"(3/2,5/2,7/2)+",
31CL,9447 6,"(3/2,5/2,7/2)+",
31CL,9447 6,"(3/2,5/2,7/2)+",
31CL,9447 6,"(3/2,5/2,7/2)+",
31CL,12314 5,5/2+,
31CL,12539 30,"(3/2,5/2,7/2)+",
31CL,12539 30,"(3/2,5/2,7/2)+",
31CL,12539 30,"(3/2,5/2,7/2)+",
32CL,0,1+,298 ms 1
32CL,89.9 1,(2)+,
32CL,461.1 1,(0)+,
32CL,1168.55 13,1+,
32CL,1331.2 5,(2)+,
32CL,1736.7 6,(3+),
32CL,2131.1 4,(3)+,
32CL,2209.5 5,(1+),
32CL,2283.5 5,(2)+,
32CL,2611 5,(1+),
32CL,2675 5,(2+),
32CL,2859 4,"1+,2+,3+",
32CL,2859 4,"1+,2+,3+",
32CL,2859 4,"1+,2+,3+",
32CL,2936 5,(3+),
32CL,3283 5,"1+,2+,3+",
32CL,3283 5,"1+,2+,3+",
32CL,3283 5,"1+,2+,3+",
32CL,3772 5,1+,
32CL,4079 4,1+,
32CL,4167 20,1+,
32CL,4352 5,"0+,1+",
32CL,4352 5,"0+,1+",
32CL,4439 20,1+,
32CL,4757 9,"3+,4+,5+",
32CL,4757 9,"3+,4+,5+",
32CL,4757 9,"3+,4+,5+",
32CL,4796 10,(1+),
32CL,5046.3 3,0+,20 eV 5
32CL,5166 5,"(5+,6+,7+)",
32CL,5166 5,"(5+,6+,7+)",
32CL,5166 5,"(5+,6+,7+)",
32CL,5302 5,1+,
32CL,5427 5,1+,
32CL,5578 8,"(5+,6+,7+)",
32CL,5578 8,"(5+,6+,7+)",
32CL,5578 8,"(5+,6+,7+)",
32CL,5695 5,1+,
32CL,5794 5,1+,
32CL,6063 5,1+,
32CL,6076 8,"(5+,6+,7+)",
32CL,6076 8,"(5+,6+,7+)",
32CL,6076 8,"(5+,6+,7+)",
32CL,6259 8,1+,
32CL,6360 15,"(5+,6+,7+)",
32CL,6360 15,"(5+,6+,7+)",
32CL,6360 15,"(5+,6+,7+)",
32CL,6528 5,1+,
32CL,6599 5,1+,
32CL,6738 5,1+,
32CL,7330 5,1+,
32CL,7467 10,1+,
32CL,7608 5,1+,
32CL,7861 8,1+,
32CL,8186 10,1+,
33CL,0,3/2+,2.511 s 4
33CL,810.55 16,1/2+,1.2 ps 2
33CL,1986.3 3,5/2+,55 fs 11
33CL,2352.0 3,3/2+,70 fs 20
33CL,2839.0 3,5/2+,3 fs 1
33CL,2975.4 3,7/2+,60 fs 14
33CL,3816.3 3,5/2+,
33CL,3971.2 2,3/2+,5 keV 3
33CL,4099.4 5,"(1/2+,3/2,5/2+)",
33CL,4099.4 5,"(1/2+,3/2,5/2+)",
33CL,4112.27 20,3/2+,< 3 keV
33CL,4439.0 2,1/2+,2 keV 1
33CL,4464.2 4,3/2+,< 2 keV
33CL,4746.2 4,5/2+,
33CL,4835 2,3/2+,
33CL,5105.5 20,3/2+,1.5 keV 5
33CL,5300 2,(3/2)+,< 10 keV
33CL,5374 2,5/2+,0.44 keV 8
33CL,5448 1,1/2+,31 keV 2
33CL,5548.4 4,1/2+,105 eV 9
33CL,5734 3,1/2+,38 keV 5
33CL,5869 3,"1/2+,3/2+",1.4 keV 5
33CL,5869 3,"1/2+,3/2+",1.4 keV 5
33CL,6149 3,5/2+,0.4 keV 1
33CL,6203 3,3/2+,5 keV 1
33CL,6255 2,1/2+,6 keV 3
33CL,6625 3,5/2+,5 keV 2
33CL,6697 3,5/2+,4.0 keV 10
33CL,6850 2,3/2+,0.36 keV 15
33CL,6854 3,"3/2+,5/2+",30 keV 10
33CL,6854 3,"3/2+,5/2+",30 keV 10
33CL,6949 2,"1/2+,3/2+",
33CL,6949 2,"1/2+,3/2+",
33CL,6983 3,3/2+,10 keV
33CL,7094 3,5/2+,18 keV
33CL,7210 4,5/2+,2.6 keV 5
33CL,7264 6,3/2+,
33CL,7289 4,(3/2)+,10 keV 5
33CL,7301 3,9/2+,4 keV
33CL,7390 2,5/2+,108 eV 7
33CL,7399 3,5/2+,11 keV
33CL,7471 3,7/2+,1.5 keV
33CL,7482 2,1/2+,4 keV 3
33CL,7540 4,"1/2+,3/2+",< 4 keV
33CL,7540 4,"1/2+,3/2+",< 4 keV
33CL,7551 2,"1/2+,3/2+",< 10 keV
33CL,7551 2,"1/2+,3/2+",< 10 keV
33CL,7667 4,"1/2+,3/2+",8 keV 4
33CL,7667 4,"1/2+,3/2+",8 keV 4
33CL,7765 3,(1/2)+,10 keV 6
33CL,8077 3,"1/2+,3/2+",34 keV 6
33CL,8077 3,"1/2+,3/2+",34 keV 6
33CL,8130 3,"1/2+,3/2+",
33CL,8130 3,"1/2+,3/2+",
33CL,8183 3,(1/2)+,22 keV 6
33CL,8316 6,"1/2+,3/2+",
33CL,8316 6,"1/2+,3/2+",
33CL,8490 6,(1/2)+,
33CL,8558 5,(3/2)+,
33CL,8849 5,"1/2+,3/2+",
33CL,8849 5,"1/2+,3/2+",
33CL,8964 8,(1/2)+,
33CL,9117 5,(3/2)+,
33CL,9154 6,(3/2)+,
33CL,9193 9,"1/2+,3/2+",
33CL,9193 9,"1/2+,3/2+",
33CL,9583 6,"1/2+,3/2+",
33CL,9583 6,"1/2+,3/2+",
34CL,0,0+,1.5266 s 4
34CL,146.36 3,3+,31.99 m 3
34CL,461.00 4,1+,5.2 ps 4
34CL,665.56 4,1+,9.2 ps 4
34CL,1230.26 4,2+,13.6 ps 9
34CL,1887.14 5,2+,1.2 ps 5
34CL,1923.3 17,+,
34CL,2158.05 5,2+,33.1 fs 22
34CL,2181.10 8,3+,349 fs 51
34CL,2376.5 4,4+,150 fs 17
34CL,2580.4 2,1+,33 fs 8
34CL,2611.05 11,3+,160 fs 38
34CL,2718 10,0:4+,
34CL,2718 10,0:4+,
34CL,2718 10,0:4+,
34CL,2718 10,0:4+,
34CL,2718 10,0:4+,
34CL,3129.13 12,1+,< 2.8 fs
34CL,3334.0 2,"1+,2+,3+",47 fs 19
34CL,3334.0 2,"1+,2+,3+",47 fs 19
34CL,3334.0 2,"1+,2+,3+",47 fs 19
34CL,3383.3 2,"1+,2+",5.4 fs 11
34CL,3383.3 2,"1+,2+",5.4 fs 11
34CL,3646.3 2,"(3,4,5+)",152 fs 62
34CL,3791.7 2,"(0+,1+)",
34CL,3791.7 2,"(0+,1+)",
34CL,3940.1 3,0+,< 4 fs
34CL,3964.1 3,"(2,3,4)+",90 fs 32
34CL,3964.1 3,"(2,3,4)+",90 fs 32
34CL,3964.1 3,"(2,3,4)+",90 fs 32
34CL,4075 10,"1+,2+",
34CL,4075 10,"1+,2+",
34CL,4136.6 12,"1+,2+",
34CL,4136.6 12,"1+,2+",
34CL,4147.8 2,"(1+,2+)",
34CL,4147.8 2,"(1+,2+)",
34CL,4211 4,"1+,2+",
34CL,4211 4,"1+,2+",
34CL,4325.91 15,"1+,2+",5.1 fs 20
34CL,4325.91 15,"1+,2+",5.1 fs 20
34CL,4611 4,"0+,1+",
34CL,4611 4,"0+,1+",
34CL,4695.7 2,"0+,1,2,3,4+",6 fs 3
34CL,4695.7 2,"0+,1,2,3,4+",6 fs 3
34CL,4717.4 6,"1+,2",< 9 fs
34CL,4788 7,3:7+,
34CL,4788 7,3:7+,
34CL,4788 7,3:7+,
34CL,4788 7,3:7+,
34CL,4788 7,3:7+,
34CL,4824.2 1,5+,0.32 ps 10
34CL,4927 4,0:4+,
34CL,4927 4,0:4+,
34CL,4927 4,0:4+,
34CL,4927 4,0:4+,
34CL,4927 4,0:4+,
34CL,4941.9 4,1+,< 6 fs
34CL,4957.3 11,"1+,2+",< 12 fs
34CL,4957.3 11,"1+,2+",< 12 fs
34CL,4970 40,(0)+,
34CL,4971 11,"1+,2+",
34CL,4971 11,"1+,2+",
34CL,4995.6 3,"1+,2+",5 fs 3
34CL,4995.6 3,"1+,2+",5 fs 3
34CL,5010 13,(0:4)+,
34CL,5010 13,(0:4)+,
34CL,5010 13,(0:4)+,
34CL,5010 13,(0:4)+,
34CL,5010 13,(0:4)+,
34CL,5278 7,"5+,6+,7+",
34CL,5278 7,"5+,6+,7+",
34CL,5278 7,"5+,6+,7+",
34CL,5314.93 17,7+,65 ps 8
34CL,5635.7 2,"(1,2+)",
34CL,5672.9 10,"(1,2+)",
34CL,5763.2 10,"(1+,2+)",
34CL,5763.2 10,"(1+,2+)",
34CL,5785.5 10,"(2,3,4+)",
34CL,5805.9 10,(2+),
34CL,6030.0 19,"(1+,2+)",
34CL,6030.0 19,"(1+,2+)",
34CL,6088.91 8,"(1,2+)",
34CL,6136.2 11,1(+),
34CL,6219.2 12,"(2-,3+)",
34CL,6266.5 13,"(1+,2,3+)",
34CL,6266.5 13,"(1+,2,3+)",
34CL,6361.3 13,"(1+,2,3+)",
34CL,6361.3 13,"(1+,2,3+)",
34CL,6441.5 14,"(2-,3+)",
34CL,6488.3 14,"(1,2+)",
34CL,6527.5 15,"(2-,3+)",
34CL,6576.1 15,"(2+,3,4+)",
34CL,6576.1 15,"(2+,3,4+)",
34CL,6583.4 15,"(1-,2+)",
34CL,6695.0 16,"(3+,4,5+)",
34CL,6695.0 16,"(3+,4,5+)",
34CL,6724.2 3,(4+),
34CL,6790.8 16,"(1+,2+)",
34CL,6790.8 16,"(1+,2+)",
34CL,6798.4 16,"(3-,4+)",
34CL,6829.8 14,"(2,3+)",
34CL,6852.4 10,2+,0.80 keV 1
34CL,6901.7 3,"(1+,2+)",
34CL,6901.7 3,"(1+,2+)",
34CL,6977.4 17,"(2-,3,4+)",
34CL,6991.9 8,1+,0.22 keV 2
34CL,7051.5 18,"(1-,2,3+)",
34CL,7059.0 3,"(2-,3+)",
34CL,7241.1 15,1+,0.55 keV 6
34CL,7475.3 15,2+,0.17 keV 2
34CL,7511.3 8,1+,0.30 keV 3
34CL,7525.6 15,"(1,2)+",
34CL,7525.6 15,"(1,2)+",
34CL,7527.2 8,1+,3.0 keV 3
34CL,7544.5 10,1+,0.15 keV 2
34CL,7553.3,2+,2.5 keV 3
34CL,7585.8 15,1+,1.4 keV 2
34CL,7595.4 15,2+,0.70 keV 7
34CL,7613.6,2+,0.30 keV 3
34CL,7674.3,(1:4)+,
34CL,7674.3,(1:4)+,
34CL,7674.3,(1:4)+,
34CL,7674.3,(1:4)+,
34CL,7675.1 10,(2)+,
34CL,7684.7 15,"(2,3)+",
34CL,7684.7 15,"(2,3)+",
34CL,7690.4 8,1+,0.30 keV
34CL,7761.5 15,(0:2)+,
34CL,7761.5 15,(0:2)+,
34CL,7761.5 15,(0:2)+,
34CL,7787.5 15,"(1,2)+",
34CL,7787.5 15,"(1,2)+",
34CL,7799.8 15,"(3,4)+",
34CL,7799.8 15,"(3,4)+",
34CL,7825.3 15,3+,0.04 keV 1
34CL,7848.8 8,"(3,4)+",
34CL,7848.8 8,"(3,4)+",
34CL,7929.1 15,2+,1.4 keV 2
34CL,7934.6 8,3+,0.50 keV 5
34CL,7943.1 8,(1:4)+,
34CL,7943.1 8,(1:4)+,
34CL,7943.1 8,(1:4)+,
34CL,7943.1 8,(1:4)+,
34CL,7967.2 8,1+,0.20 keV 2
34CL,7975.1 15,2+,3.0 keV 3
34CL,7977.4 15,1+,2.7 keV 3
34CL,7979.7 8,3+,0.30 keV 3
34CL,8002.5 15,"(1,2)+",
34CL,8002.5 15,"(1,2)+",
34CL,8012.4 15,(1:4)+,
34CL,8012.4 15,(1:4)+,
34CL,8012.4 15,(1:4)+,
34CL,8012.4 15,(1:4)+,
34CL,8048.3 8,2+,0.20 keV 2
34CL,8059.2 15,3+,1.2 keV 1
34CL,8084.5 15,2+,0.70 keV 7
34CL,8118.6 15,2+,1.1 keV 1
34CL,8127.3 15,0+,1.0 keV 1
34CL,8159.0 15,1+,0.90 keV 9
34CL,8186.3 15,"(3,4)+",
34CL,8186.3 15,"(3,4)+",
34CL,8191.5 8,2+,0.50 keV
34CL,8210.5 15,(3)+,0.20 keV 2
34CL,8235.8 8,2+,0.95 keV 10
34CL,8251.3 15,(2+),0.10 keV 1
34CL,8259.3 8,4+,0.80 keV
34CL,8265.5 15,"(2,3)+",
34CL,8265.5 15,"(2,3)+",
34CL,8316.5 15,4+,2.0 keV 2
34CL,8318.6 8,"(1,2)+",
34CL,8318.6 8,"(1,2)+",
34CL,8358.4 15,2+,1.5 keV 2
34CL,8376.1,2+,0.80 keV 8
34CL,8386.4,"(3,4)+",
34CL,8386.4,"(3,4)+",
34CL,8460.3 15,1+,0.8 keV 1
34CL,8477.1 15,(2)+,1.90 keV 20
34CL,8494.1 15,2+,1.50 keV 15
34CL,8509.2 15,2+,25.0 keV 25
34CL,8548.1 15,1+,25.0 keV 25
34CL,8563.3 15,4+,1.5 keV 15
34CL,8579.3 15,1+,3.1 keV 3
34CL,8597.8 15,1+,3.0 keV 3
34CL,8601.7 15,2+,3.0 keV 3
34CL,8647.4 15,2+,10.0 keV 20
34CL,8651.8 15,(1)+,1.0 keV 1
34CL,8655.7 15,(1)+,1.80 keV 18
