A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),M Gamma,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Include,Nucleus,Jf,twoJf,ni,nf
22,Na,11,11,4710.0,0.4,5,37 FS 14,1741.3,,E2,14.0,6,10,True,22Na,3,6,3,3
22,Na,11,11,1951.8,0.3,2,8 FS 2,1294.8,,[E2],15.0,5,4,True,22Na,0,0,1,1
22,Na,11,11,3706.7,0.4,6,59 FS 12,2176.5,1,M1+E2,15.0,5,12,True,22Na,5,10,1,1
22,Na,11,11,1528.1,0.3,5,3.42 PS 0.24,637.5,0.2,M1+E2,16.0,5,10,True,22Na,4,8,1,1
22,Na,11,11,1983.5,0.5,3,1.47 PS 0.15,1400.4,0.5,E2,18.9,2,6,True,22Na,1,2,2,1
22,Na,11,11,5100.4,1.3,4,38 FS 12,2039.1,,(E2),21.0,8,8,True,22Na,2,4,3,2
22,Na,11,11,890.89,0.2,4,10.0 PS 0.3,890.87,0.2,M1+E2,25.1,0.9,8,True,22Na,3,6,1,1
23,Na,11,12,3914.6,0.4,5/2,6.9 FS 1.4,3914.0,1,M1+E2,0.8,0.3,5,True,23Na,3/2,3,2,1
23,Na,11,12,6115.1,0.6,11/2,35 FS 9,4038.0,1,[E2],0.89,0.25,11,True,23Na,7/2,7,2,1
23,Na,11,12,4775.2,0.5,7/2,1.4 FS LT,4335.0,1,M1+E2,0.93,0.093,7,True,23Na,5/2,5,2,1
23,Na,11,12,2982.0,0.5,3/2,3.3 FS 0.4,2541.3,0.9,M1+E2,1.4,1,3,True,23Na,5/2,5,2,1
23,Na,11,12,5534.2,0.6,11/2,10.4 FS 0.6,2830.0,1,M1+E2,1.7,1.1,11,True,23Na,9/2,9,1,1
23,Na,11,12,7268.1,0.6,13/2,18 FS 6,4564.0,1,E2,1.8,0.6,13,True,23Na,9/2,9,2,1
23,Na,11,12,2390.9,0.3,1/2,0.60 PS 0.14,1950.6,0.4,E2,2.9,0.7,1,True,23Na,5/2,5,1,1
23,Na,11,12,9802.9,0.8,15/2,4.2 FS 1.4,4269.0,1,E2,3.5,1.4,15,True,23Na,11/2,11,1,1
23,Na,11,12,5378.56,0.15,5/2,143 AS 21,4937.8,,M1+E2,5.0,4,5,True,23Na,5/2,5,3,1
23,Na,11,12,5534.2,0.6,11/2,10.4 FS 0.6,3458.0,1,E2,6.0,4,11,True,23Na,7/2,7,1,1
23,Na,11,12,2076.2,0.4,7/2,27 FS 3,2076.7,0.8,E2,12.2,1.5,7,True,23Na,3/2,3,1,1
23,Na,11,12,2076.2,0.4,7/2,27 FS 3,1636.6,0.8,M1+E2,14.6,2.2,7,True,23Na,5/2,5,1,1
23,Na,11,12,6235.4,0.6,13/2,16 FS 8,3531.0,1,(E2),15.0,8,13,True,23Na,9/2,9,1,1
23,Na,11,12,2703.8,0.5,9/2,88 FS 7,2263.3,0.8,E2,17.4,1.4,9,True,23Na,5/2,5,1,1
23,Na,11,12,3914.6,0.4,5/2,6.9 FS 1.4,1523.0,1,[E2],28.0,7,5,True,23Na,1/2,1,2,1
23,Na,11,12,440.2,0.4,5/2,1.14 PS 0.07,440.5,0.6,M1+E2,32.0,6,5,True,23Na,3/2,3,1,1
23,Na,11,12,6735.5,0.2,3/2,415 AS 50,4658.8,,[E2],43.0,11,3,True,23Na,7/2,7,4,1
23,Na,11,12,2703.8,0.5,9/2,88 FS 7,627.4,0.6,M1+E2,60.0,30,9,True,23Na,7/2,7,1,1
24,Na,11,13,1885.493,0.005,3,26 FS 5,1885.413,0.005,M1+E2,0.41,0.25,6,True,24Na,4,8,2,1
24,Na,11,13,1846.012,0.005,2,180 FS 35,1373.763,0.005,M1+E2,1.2,1,4,True,24Na,1,2,3,1
25,Na,11,14,2202.0,1.0,3/2,25 FS 4,1132.8,1,M1+E2,1.8,6.7,3,True,25Na,1/2,1,2,1
25,Na,11,14,1069.32,0.19,1/2,1.32 PS 0.14,1069.3,,[E2],7.1,1.1,1,True,25Na,5/2,5,1,1
25,Na,11,14,2202.0,1.0,3/2,25 FS 4,2112.5,1,M1+E2,24.0,5,3,True,25Na,3/2,3,2,1
26,Na,11,15,406.7,0.5,2,0.18 NS +0.17-0.13,323.0,,M1+E2,0.5,0.7,4,True,26Na,1,2,2,1
26,Na,11,15,406.7,0.5,2,0.18 NS +0.17-0.13,404.0,3,M1+E2,3.0,4.0,4,True,26Na,3,6,2,1
26,Na,11,15,82.2,0.6,1,9 US 2,84.0,3,E2,3.6,0.9,2,True,26Na,3,6,1,1
26,Na,11,15,232.7,0.6,2,0.9 NS +0.6-0.5,232.0,2,M1+E2,11.0,10,4,True,26Na,3,6,1,1
26,Na,11,15,232.7,0.6,2,0.9 NS +0.6-0.5,153.0,3,M1+E2,19.0,20.0,4,True,26Na,1,2,1,1
22,Mg,12,10,5711.4,0.7,2,28 FS 10,4463.5,1,M1+E2,0.08,0.05,4,True,22Mg,2,4,4,1
22,Mg,12,10,4402.0,0.3,2,21 FS LT,4400.0,50,[E2],0.33,0.033,4,True,22Mg,0,0,2,1
22,Mg,12,10,3308.22,0.06,4,200 FS 45,2061.09,0.05,E2,21.0,5,8,True,22Mg,2,4,1,1
22,Mg,12,10,1247.02,0.03,2,2.0 PS 0.8,1246.98,0.03,E2,26.0,11,4,True,22Mg,0,0,1,1
23,Mg,12,11,2051.6,0.4,7/2,65 FS 12,1601.4,1.3,M1+E2,6.5,2.1,7,True,23Mg,5/2,5,1,1
23,Mg,12,11,2357.0,0.7,1/2,575 FS 118,1906.0,1,[E2],6.9,1.8,1,True,23Mg,5/2,5,1,1
23,Mg,12,11,6194.7,0.7,13/2,11.9 FS 2.1,3480.0,1,E2,21.4,4.6,13,True,23Mg,9/2,9,1,1
23,Mg,12,11,450.7,0.15,5/2,1.15 PS 0.08,450.7,0.15,M1+E2,24.0,20.0,5,True,23Mg,3/2,3,1,1
23,Mg,12,11,2714.5,0.5,9/2,65 FS 8,2263.0,1,[E2],26.5,3.7,9,True,23Mg,5/2,5,1,1
24,Mg,12,12,4238.24,0.03,2,41 FS 4,4237.96,0.06,E2,1.94,0.19,4,True,24Mg,0,0,2,1
24,Mg,12,12,5235.12,0.04,3,61 FS 7,3866.19,0.08,M1+E2,2.5,0.3,6,True,24Mg,2,4,1,1
24,Mg,12,12,4238.24,0.03,2,41 FS 4,2869.5,0.06,M1+E2,3.6,0.4,4,True,24Mg,2,4,2,1
24,Mg,12,12,6432.3,0.11,0,53 FS 8,2193.4,0.6,E2,8.9,1.4,0,True,24Mg,2,4,2,2
24,Mg,12,12,1368.672,0.005,2,1.33 PS 0.06,1368.626,0.005,E2,21.5,1,4,True,24Mg,0,0,1,1
24,Mg,12,12,4122.889,0.012,4,22 FS 2,2754.007,0.011,E2,39.0,4,8,True,24Mg,2,4,1,1
24,Mg,12,12,5235.12,0.04,3,61 FS 7,996.83,0.1,M1+E2,58.0,8,6,True,24Mg,2,4,1,2
25,Mg,12,13,2737.8,0.3,7/2,290 FS 30,2738.0,0.6,M1+E2,0.1,0.05,7,True,25Mg,5/2,5,2,1
25,Mg,12,13,1964.624,0.023,5/2,0.70 PS 0.06,1964.501,0.045,M1+E2,0.45,0.12,5,True,25Mg,5/2,5,2,1
25,Mg,12,13,585.045,0.021,1/2,3.38 NS 0.06,585.028,0.03,E2,0.563,0.01,1,True,25Mg,5/2,5,1,1
25,Mg,12,13,974.756,0.022,3/2,10.1 PS 1,974.742,0.035,M1+E2,0.91,0.13,3,True,25Mg,5/2,5,1,1
25,Mg,12,13,2801.46,0.03,3/2,26 FS 3,2216.267,0.05,M1+E2,1.5,1.3,3,True,25Mg,1/2,1,2,1
25,Mg,12,13,4059.6,0.3,9/2,47 FS 5,4058.9,0.5,E2,1.51,0.17,9,True,25Mg,5/2,5,2,1
25,Mg,12,13,2801.46,0.03,3/2,26 FS 3,2801.312,0.035,M1+E2,1.7,0.4,3,True,25Mg,5/2,5,2,1
25,Mg,12,13,4059.6,0.3,9/2,47 FS 5,2450.5,1,M1+E2,2.1,0.8,9,True,25Mg,7/2,7,2,1
25,Mg,12,13,5461.1,0.3,13/2,1.44 PS 0.13,2055.9,0.2,E2,2.46,0.23,13,True,25Mg,9/2,9,1,1
25,Mg,12,13,5251.63,0.22,11/2,15 FS 2,1846.4,0.5,M1+E2,3.3,1.2,11,True,25Mg,9/2,9,1,1
25,Mg,12,13,1964.624,0.023,5/2,0.70 PS 0.06,989.865,0.03,M1+E2,3.5,0.7,5,True,25Mg,3/2,3,2,1
25,Mg,12,13,2563.36,0.05,1/2,10 FS 5,2563.6,0.4,E2,4.0,3,1,True,25Mg,5/2,5,2,1
25,Mg,12,13,5251.63,0.22,11/2,15 FS 2,3639.5,0.3,E2,5.1,1.2,11,True,25Mg,7/2,7,1,1
25,Mg,12,13,3405.06,0.17,9/2,7.7 FS 0.7,3404.7,0.4,E2,6.8,0.9,9,True,25Mg,5/2,5,1,1
25,Mg,12,13,5533.8,0.4,11/2,6 FS 2,3922.0,1.1,[E2],9.0,4,11,True,25Mg,7/2,7,2,1
25,Mg,12,13,5251.63,0.22,11/2,15 FS 2,2515.7,1.2,[E2],10.5,1.8,11,True,25Mg,7/2,7,1,2
25,Mg,12,13,974.756,0.022,3/2,10.1 PS 1,389.71,0.035,M1+E2,11.0,5,3,True,25Mg,1/2,1,1,1
25,Mg,12,13,3405.06,0.17,9/2,7.7 FS 0.7,1793.1,0.3,M1+E2,12.0,6,9,True,25Mg,7/2,7,1,1
25,Mg,12,13,1964.624,0.023,5/2,0.70 PS 0.06,1379.543,0.03,E2,15.8,1.4,5,True,25Mg,1/2,1,2,1
25,Mg,12,13,2737.8,0.3,7/2,290 FS 30,773.1,0.7,M1+E2,20.0,15,7,True,25Mg,5/2,5,2,2
25,Mg,12,13,2737.8,0.3,7/2,290 FS 30,1763.5,0.7,E2,22.9,2.5,7,True,25Mg,3/2,3,2,1
25,Mg,12,13,1611.768,0.011,7/2,17 FS 3,1611.712,0.011,M1+E2,24.0,6,7,True,25Mg,5/2,5,1,1
25,Mg,12,13,4711.6,0.4,9/2,26 FS 3,2746.9,0.5,E2,30.0,5,9,True,25Mg,5/2,5,3,2
25,Mg,12,13,5251.63,0.22,11/2,15 FS 2,1192.4,0.6,M1+E2,80.0,40,11,True,25Mg,9/2,9,1,2
26,Mg,12,14,4972.3,0.13,0,446 FS 70,3163.35,,E2,0.06,0.04,0,True,26Mg,2,4,3,1
26,Mg,12,14,4350.09,0.04,3,105 FS 28,2541.18,0.06,M1+E2,0.06,0.05,6,True,26Mg,2,4,2,1
26,Mg,12,14,4835.13,0.05,2,28 FS 6,4834.61,0.18,E2,0.15,0.04,4,True,26Mg,0,0,4,1
26,Mg,12,14,3941.57,0.04,3,0.83 PS 0.12,1003.25,0.04,M1+E2,0.23,0.37,6,True,26Mg,2,4,1,2
26,Mg,12,14,4332.52,0.05,2,20 FS 3,4332.2,0.3,[E2],0.24,0.05,4,True,26Mg,0,0,3,1
26,Mg,12,14,2938.33,0.04,2,141 FS 8,2938.15,0.05,E2,0.39,0.04,4,True,26Mg,0,0,2,1
26,Mg,12,14,5715.91,0.08,4,53 FS 16,1774.0,0.9,M1+E2,0.4,0.2,8,True,26Mg,3,6,4,1
26,Mg,12,14,9111.2,0.5,6,11 FS LE,4792.0,,[E2],0.8,0.08,12,True,26Mg,4,8,3,1
26,Mg,12,14,3588.56,0.09,0,6.45 PS 0.48,1779.74,0.08,E2,1.07,0.08,0,True,26Mg,2,4,2,1
26,Mg,12,14,5476.05,0.07,4,21 FS 6,3667.4,0.5,[E2],1.1,0.4,8,True,26Mg,2,4,3,1
26,Mg,12,14,6256.2,1.4,0,53 FS 31,4447.1,,E2,1.2,0.8,0,True,26Mg,2,4,4,1
26,Mg,12,14,9111.2,0.5,6,11 FS LE,4209.4,,[E2],1.4,0.13999999999999999,12,True,26Mg,4,8,3,2
26,Mg,12,14,5715.91,0.08,4,53 FS 16,2776.82,0.2,[E2],1.7,0.5,8,True,26Mg,2,4,4,2
26,Mg,12,14,4901.44,0.07,4,29 FS 6,1962.99,0.24,[E2],2.5,0.6,8,True,26Mg,2,4,2,2
26,Mg,12,14,4318.89,0.05,4,272 FS 16,2510.01,0.05,[E2],4.5,0.3,8,True,26Mg,2,4,1,1
26,Mg,12,14,7396.0,1.0,5,14 FS LE,1680.0,1,(M1+E2),4.6,0.45999999999999996,10,True,26Mg,4,8,2,4
26,Mg,12,14,6978.3,0.8,5,14 FS 5,3036.5,,E2,4.8,1.9,10,True,26Mg,3,6,1,1
26,Mg,12,14,2938.33,0.04,2,141 FS 8,1129.61,0.04,M1+E2,6.1,2.1,4,True,26Mg,2,4,2,1
26,Mg,12,14,4972.3,0.13,0,446 FS 70,2033.88,0.12,E2,7.4,1.3,0,True,26Mg,2,4,3,2
26,Mg,12,14,9111.2,0.5,6,11 FS LE,3635.0,,[E2],8.8,0.8800000000000001,12,True,26Mg,4,8,3,3
26,Mg,12,14,4350.09,0.04,3,105 FS 28,1411.72,0.04,M1+E2,9.0,4,6,True,26Mg,2,4,2,2
26,Mg,12,14,9111.2,0.5,6,11 FS LE,2488.0,,[E2],9.4,0.9400000000000001,12,True,26Mg,4,8,3,5
26,Mg,12,14,5476.05,0.07,4,21 FS 6,1534.49,0.15,M1+E2,12.0,5,8,True,26Mg,3,6,3,1
26,Mg,12,14,6978.3,0.8,5,14 FS 5,2076.8,,M1+E2,13.0,9,10,True,26Mg,4,8,1,2
26,Mg,12,14,1808.74,0.04,2,476 FS 21,1808.68,0.04,E2,13.4,0.6,4,True,26Mg,0,0,1,1
26,Mg,12,14,4901.44,0.07,4,29 FS 6,3092.31,0.11,[E2],14.0,3,8,True,26Mg,2,4,2,1
26,Mg,12,14,6978.3,0.8,5,14 FS 5,1501.8,1,M1+E2,24.0,15,10,True,26Mg,4,8,1,3
27,Mg,12,15,984.88,0.05,3/2,0.97 PS 0.24,984.88,0.08,M1+E2,6.0,1.9,3,True,27Mg,1/2,1,1,1
27,Mg,12,15,1698.52,0.08,5/2,0.81 PS 0.17,1698.46,0.23,E2,10.1,2.3,5,True,27Mg,1/2,1,1,1
27,Mg,12,15,3109.73,0.21,7/2,71 FS 18,1169.4,0.25,(M1+E2),40.0,60.0,7,True,27Mg,5/2,5,1,2
28,Mg,12,16,5702.1,0.7,0,0.21 PS 0.03,4227.9,,[E2],0.077,0.012,0,True,28Mg,2,4,3,1
28,Mg,12,16,4878.6,1.3,2,0.08 PS LT,4877.0,10,E2,0.097,0.0097,4,True,28Mg,0,0,3,1
28,Mg,12,16,4878.6,1.3,2,0.08 PS LT,3404.9,1.3,M1+E2,0.18,0.018,4,True,28Mg,2,4,3,1
28,Mg,12,16,3862.15,0.14,0,0.55 PS 0.07,2388.5,0.1,E2,2.6,0.4,0,True,28Mg,2,4,2,1
28,Mg,12,16,4021.0,0.5,4,105 FS 35,2547.7,0.6,(E2),10.0,4,8,True,28Mg,2,4,1,1
28,Mg,12,16,1473.54,0.1,2,1.2 PS 0.1,1473.5,0.1,E2,13.4,1.2,4,True,28Mg,0,0,1,1
30,Mg,12,18,1482.8,0.3,2,1.5 PS 0.2,1482.1,0.5,E2,9.5,1.3,4,True,30Mg,0,0,1,1
30,Mg,12,18,1788.2,0.4,0,3.9 NS 0.4,305.5,0.3,E2,9.8,1.1,0,True,30Mg,2,4,2,1
32,Mg,12,20,885.3,0.1,2,11.4 PS 2,885.3,0.1,(E2),15.0,3,4,True,32Mg,0,0,1,1
25,Al,13,12,1789.5,0.5,5/2,393 FS 36,1789.4,0.5,M1+E2,2.0,0.6,5,True,25Al,5/2,5,2,1
25,Al,13,12,944.9,0.5,3/2,4.3 PS 1.1,944.9,0.5,M1+E2,2.0,1.5,3,True,25Al,5/2,5,1,1
25,Al,13,12,451.7,0.5,1/2,2.29 NS 0.04,451.7,0.5,[E2],3.03,0.06,1,True,25Al,5/2,5,1,1
25,Al,13,12,3424.2,0.8,9/2,9.0 FS 1.4,3423.9,0.8,E2,4.8,1.6,9,True,25Al,5/2,5,1,1
25,Al,13,12,944.9,0.5,3/2,4.3 PS 1.1,493.3,0.7,M1+E2,5.0,7.0,3,True,25Al,1/2,1,1,1
25,Al,13,12,2720.2,0.5,7/2,201 FS 14,930.7,0.7,M1+E2,8.0,14.0,7,True,25Al,5/2,5,2,2
